ORGNR;KOMNR;GARDSNR;BRUKSNR;FESTENR;ID;KOORDSYS;NORD;OST;ORGNR_1
"214881632";"4646";115;4;0;40400;25832;6796143;314141;"311030620"
"211471182";"3416";65;1;0;8458;25832;6653049;680339;"312911159"
"311251317";"1122";78;5;0;31639;25832;6524962;337367;"310339091"
"211301112";"4624";169;2;0;191205;25832;6682882;328338;"314015150"
"311280597";"5055";231;1;0;44066;25832;6995474;466939;"210758232"
"311269534";"4651";117;1;0;42267;25832;6860116;382767;"312534053"
"311259881";"4213";61;15;0;108901;25832;6501661;497519;"313800547"
"311545884";"4202";44;11;0;175784;25832;6472147;479450;"313912795"
"211574682";"4640";29;3;0;188062;25832;6790997;395308;"312535785"
"211872632";"3214";55;2;0;195215;25832;6626081;592932;"313461718"
"311568396";"4630";117;1;0;146847;25832;6716983;303936;"312531496"
"311465724";"4624";170;1;0;156547;25832;6682231;327702;"310822205"
"311590235";"3322";40;12;0;152657;25832;6714518;510774;"314111451"
"311307282";"3338";145;1;0;122272;25832;6681391;500362;"310959103"
"311217267";"3411";750;4;0;5853;25832;6752225;612812;"313604918"
"311467263";"5031";38;3;0;157871;25832;7032780;584075;"313810321"
"311370766";"1816";3;4;0;144495;25833;7285355;376506;"313963403"
"311528335";"1579";152;5;0;173158;25832;6973544;420959;"310318175"
"311227149";"3449";67;1;0;12931;25832;6729733;539945;"310511293"
"215428222";"3305";141;3;0;73797;25832;6677379;553672;"312842246"
"214736802";"4005";56;3;0;201539;25832;6601033;514146;"310556424"
"311246380";"1134";145;30;0;31035;25832;6579860;335565;"313385914"
"311210467";"1563";71;7;0;89812;25832;6947717;467001;"312661543"
"311434314";"1119";67;1;0;152418;25832;6498324;306891;"311822004"
"215926842";"3242";29;1;0;84186;25832;6696916;612768;"313648176"
"215582132";"3228";223;17;0;229154;25832;6664486;633146;"310712884"
"311524844";"3439";83;3;0;168887;25832;6815050;568695;"312211998"
"212060992";"1108";229;1;0;194237;25832;6538388;338455;"311702092"
"311860402";"3338";198;5;0;157696;25832;6680357;499158;"310606324"
"215154882";"3118";46;1;0;208480;25832;6606669;624795;"313109372"
"211944242";"3314";112;1;0;19357;25832;6617102;550012;"314253450"
"211473282";"3426";70;1;0;5807;25832;6916489;614345;"210295232"
"311257684";"3448";15;1;0;107164;25832;6745121;555821;"313434192"
"311299166";"3451";16;4;0;117583;25832;6766066;511441;"310336548"
"214556472";"3301";53;1;0;201163;25832;6616756;568157;"314045920"
"311858785";"4622";38;1;0;156264;25832;6698104;342752;"313452255"
"211879262";"3316";30;3;0;18835;25832;6644387;555793;"313717437"
"311341197";"4204";588;2;0;135163;25832;6452073;428710;"310935034"
"311468561";"4641";51;22;0;100266;25832;6758965;397246;"313687570"
"214975432";"1577";166;2;0;45738;25832;6899651;337388;"312825252"
"311596403";"3207";71;2;0;120363;25832;6619722;606077;"313907899"
"214479362";"4601";195;6;0;33933;25832;6711065;299317;"313806057"
"211897392";"1578";64;2;0;198090;25832;6895701;404249;"314060490"
"311372742";"1579";171;14;0;147147;25832;6977666;413029;"310443042"
"311415425";"3440";108;11;0;154579;25832;6801808;569843;"314201310"
"311340042";"3448";113;1;0;84221;25832;6747141;558460;"313882950"
"311596853";"5037";62;1;0;124965;25832;7060694;608892;"213049232"
"311510878";"3435";85;1;0;169605;25832;6858861;500928;"210988432"
"311548786";"5041";67;1;0;178533;25832;7123761;657213;"310560618"
"311499106";"5028";202;1;0;119708;25832;7004070;565159;"311006061"
"311860674";"5055";31;4;0;159098;25832;7032269;504225;"312511681"
"211512482";"3214";50;2;0;189241;25832;6625701;595626;"310246026"
"311199099";"4649";221;1;0;90348;25832;6891713;309084;"310223638"
"311580000";"3107";620;1;0;151870;25832;6569561;615951;"310088005"
"311225650";"3442";271;2;0;11269;25832;6719191;596575;"310752290"
"311474766";"3441";207;2;0;100841;25832;6793002;561110;"310084425"
"215529622";"1579";19;1;0;75924;25832;6970041;403078;"313952800"
"214856492";"3427";6;7;0;206222;25832;6887988;593809;"312959194"
"311518518";"3446";118;1;0;121578;25832;6696840;579710;"311023667"
"214928442";"1866";18;5;0;222903;25833;7581993;500948;"314024583"
"311590626";"5058";28;7;0;183400;25832;7096014;571077;"311062263"
"311533118";"4005";77;1;0;176334;25832;6605583;504778;"310851396"
"214790092";"5045";29;3;0;206043;25832;7153043;659164;"213551272"
"311314157";"1120";50;22;0;122987;25832;6523836;302987;"210564942"
"311279890";"3909";1052;2;0;119537;25832;6549690;565302;"210521402"
"311265164";"4613";97;4;0;34741;25832;6635085;284167;"311703749"
"215880362";"3118";423;1;0;82591;25832;6610976;618596;"313505588"
