ORGNR,KOMNR,GARDSNR,BRUKSNR,FESTENR,ID,KOORDSYS,NORD,OST,ORGNR_1
"894422602","5027",163,3,0,71617,25832,6977164,566607,"988215481"
"996547515","3440",30,1,0,82415,25832,6792688,577221,"973266330"
"984858655","3440",98,5,0,82448,25832,6798115,570801,"973704184"
"936895093","1103",181,1,0,83230,25832,6562084,326973,"978182720"
"969081644","1103",181,2,0,83232,25832,6562092,327081,"977999308"
"955313860","1103",182,4,0,83233,25832,6562174,325143,"973940066"
"969814250","1103",183,1,0,83234,25832,6562802,325460,"973908693"
"996406628","1130",5,19,0,83241,25832,6554768,328296,"978461069"
"972422673","1103",155,1,0,83245,25832,6570996,322511,"974483408"
"969501333","1135",44,3,0,83246,25832,6615836,353400,"978268269"
"886283342","1130",7,10,0,83247,25832,6556774,328122,"986404058"
"992101709","1130",26,3,0,83249,25832,6551745,329020,"992192178"
"919120797","1130",14,15,0,83250,25832,6554842,325236,"919340053"
"986226907","1130",20,1,0,83253,25832,6552186,327465,"978461034"
"869171662","1130",31,23,0,83254,25832,6550959,324685,"973634089"
"914624924","1130",23,3,0,83256,25832,6553519,328133,"973560484"
"975938026","1865",9,19,0,84595,25833,7565588,474583,"993207543"
"960855086","3312",50,11,0,89089,25832,6627762,570199,"971840013"
"970559434","3332",29,2,0,89094,25832,6654775,538769,"973686100"
"869334332","3312",55,3,0,89100,25832,6628978,568503,"973522574"
"918195130","3312",39,65,0,89105,25832,6626789,569229,"918451501"
"987462876","3301",210,16,0,89122,25832,6623229,558569,"982223296"
"969812045","1160",120,4,0,90313,25832,6605191,313131,"878461762"
"969271141","1160",152,2,0,90314,25832,6601095,303622,"873919272"
"992083921","1130",55,14,0,90315,25832,6543012,333116,"992182377"
"985841829","1103",214,1,0,90317,25832,6556429,308507,"997302613"
"979865112","1101",34,1,0,90319,25832,6482503,334448,"980338851"
"986352406","1103",230,5,0,90320,25832,6555020,313868,"977998646"
"915016197","4622",88,3,0,90321,25832,6687908,342547,"916919883"
"970116141","1160",112,1,0,90324,25832,6598143,313161,"972664413"
"974272571","1127",49,45,0,90326,25832,6545953,305782,"986410198"
"976187768","1127",54,10,0,90328,25832,6546422,303888,"976449495"
"974228971","1127",54,10,0,90328,25832,6546422,303888,"986410112"
"928299155","1127",54,10,0,90328,25832,6546422,303888,"928536815"
"977329566","1127",57,2,0,90329,25832,6543867,302899,"977351480"
"993320692","1160",46,1,0,90330,25832,6602477,326903,"993337927"
"969152258","4630",137,6,0,90332,25832,6713253,304399,"973962779"
"913576624","1505",145,1,0,238828,25832,6996721,437831,"913643410"
"935545358","4630",105,4,0,90336,25832,6723985,308945,"835685012"
"998026105","1579",57,1,0,90339,25832,6968323,410489,"978329055"
"924038705","1865",9,34,0,84601,25833,7566356,474256,"978278086"
"970565175","1865",10,3,0,84604,25833,7566609,475098,"978553672"
"994751875","1806",342,10,0,84609,25833,7579270,571613,"978058159"
"999332439","3417",112,2,0,84618,25832,6701757,693305,"973532235"
"976955161","3411",758,1,0,84645,25832,6745316,609995,"977222559"
"917413959","3426",27,45,0,84647,25832,6921713,602963,"973682717"
"889073322","3220",91,28,0,85980,25832,6623792,613211,"980717526"
