kommunenummer;gaardsnummer;bruksnummer;festenummer;bruksnavn;gjeldende_jordbruksareal;gjeldende_produktiv_skog;gjeldende_annet_areal;gjeldende_fulldyrket;gjeldende_overflatedyrket;gjeldende_innmarksbeite;lbe_id
"3427";4;127;0;"SKOG MED FINSTADSJØEN";0.0;337.9;391.2;0.0;0.0;0.0;"6133"
"3120";54;2;0;"SVERSTAD SØNDRE OG NORDRE";0.0;0.0;0.0;0.0;0.0;0.0;"96541"
"3240";93;96;0;"PARSELL NR 1";0.0;2.0;0.0;0.0;0.0;0.0;"231318"
"3120";187;10;0;"ERTHESTYKKET";0.0;0.0;0.0;0.0;0.0;0.0;"210337"
"3120";134;5;0;"VÆLE";351.0;376.0;68.0;351.0;0.0;0.0;"207417"
"1867";36;18;0;"SMÅ-ÅSEN";9.0;0.0;10.0;8.0;0.0;1.0;"62064"
"3120";39;19;0;"ENG";0.0;0.0;0.0;0.0;0.0;0.0;"73113"
"3120";196;2;0;"STEMME";0.0;0.0;0.0;0.0;0.0;0.0;"153717"
"1124";13;7;0;"KOLNES SØNDRE";178.0;0.0;20.0;166.0;0.0;12.0;"139783"
"3120";126;2;0;"MURTNES SØNDRE";106.0;333.0;50.0;106.0;0.0;0.0;"629"
"1121";29;5;0;"TRESNIPPEN";0.1;0.0;0.0;0.0;0.0;0.1;"243385"
"1121";29;8;0;"BUMARKEN";390.0;107.0;281.0;141.0;0.0;249.0;"243385"
"3120";219;5;0;"GRØTERUD VESTRE";33.0;92.0;5.0;33.0;0.0;0.0;"1832"
"1120";29;19;0;"NYGÅRD";147.0;0.0;27.0;147.0;0.0;0.0;"100268"
"1124";11;7;0;"KOLNES NORDRE";51.1;0.0;8.0;51.1;0.0;0.0;"139779"
"1127";52;1;0;"TUNGE";10.0;0.0;24.2;6.0;4.0;0.0;"109551"
"1124";20;21;0;"SKRETTING";58.7;5.6;10.7;45.6;0.0;13.1;"119820"
"1124";20;28;0;"SOLBERG";180.6;0.0;22.0;179.4;0.0;1.2;"119828"
"1122";36;4;0;"RAGE";3.4;70.0;1009.0;0.0;0.0;3.4;"185783"
"1121";3;12;0;"HEIEN";9.0;3.0;6.0;9.0;0.0;0.0;"72879"
"1122";36;3;0;"RAGE";31.3;149.0;500.0;26.8;0.0;4.5;"185782"
"1121";54;8;0;"BAKKEN";95.7;0.0;9.7;55.0;15.0;25.7;"207305"
"1124";20;12;0;"ØLBØR";93.2;0.0;9.0;87.4;0.0;5.8;"119817"
"5057";8;24;0;"NES IDRETTSPLASS";9.0;1.0;2.0;9.0;0.0;0.0;"243374"
"3436";268;1;0;"MIDTSKOGEN MED NERJORDET";122.3;85.0;283.8;106.3;11.7;4.3;"123740"
"1121";32;14;0;"FJERMESTAD";458.2;134.4;263.0;216.0;2.2;240.0;"195578"
"4206";33;25;0;"TJØRVE";112.1;0.0;17.0;68.1;0.0;44.0;"141326"
"1122";13;10;0;"STAVANGER E-VERK";13.0;0.0;0.0;13.0;0.0;0.0;"31656"
"4206";33;14;0;"TJØRVE";77.5;0.0;14.0;69.0;0.0;8.5;"141326"
"3432";56;11;0;"ESTINLØKKEN";0.0;0.0;0.0;0.0;0.0;0.0;"197198"
"1121";56;7;0;"LENDE";357.0;0.0;68.8;270.0;0.0;87.0;"205982"
"1124";32;2;0;"NYGAARD";0.0;0.0;4.0;0.0;0.0;0.0;"185651"
"1120";20;14;0;"HAGEN";0.0;0.0;0.0;0.0;0.0;0.0;"32120"
"1124";21;6;0;"BAKKEVOLDEN";77.4;5.1;2.7;30.4;0.0;47.0;"185717"
"4206";121;3;0;"VESTRE SLETTSTRAND";0.6;38.0;21.0;0.6;0.0;0.0;"28410"
"3432";56;9;0;"BØTEIGEN V";0.0;19.0;11.0;0.0;0.0;0.0;"170191"
"3436";370;6;0;"SOLLI 2";9.9;43.0;8.4;3.9;0.0;6.0;"125550"
"1122";46;3;0;"MOUDAL NEDRE";208.4;179.8;1917.6;86.4;0.0;122.0;"118152"
"3436";270;9;0;"RUDLAND NORDRE";90.7;166.0;48.2;88.7;0.0;2.0;"169453"
"4206";126;1;0;"FULLAND";22.3;209.0;239.0;7.3;0.0;15.0;"72778"
"1127";54;18;0;"MIDTBØ";71.0;0.0;11.0;71.0;0.0;0.0;"83302"
"3405";187;1;0;"GJEITSTAD ØVRE";70.2;256.0;151.2;57.6;0.0;12.6;"171190"
"1124";21;8;0;"VESTBØ";79.9;8.7;10.6;32.9;0.0;47.0;"101556"
"4221";68;12;0;"FAREMO";8.9;19.3;2676.0;8.9;0.0;0.0;"27573"
"4206";126;6;0;"FULLAND";14.5;100.0;269.0;8.6;0.9;5.0;"72778"
"5032";119;1;0;"STOKKAN MELLOM";101.7;1796.0;1897.8;100.3;0.0;1.4;"185017"
"4204";92;1;0;"HOLTE";15.8;424.0;32.0;15.2;0.0;0.6;"193835"
"4204";92;3;0;"HOLTE";6.0;250.0;9.0;4.9;0.0;1.1;"27700"
"5032";116;8;0;"SANDMOEN";23.5;0.9;3.0;23.5;0.0;0.0;"51596"
"4204";92;8;0;;4.6;174.0;4.0;3.2;0.0;1.4;"78797"
"4204";88;9;0;;5.2;114.4;322.0;5.2;0.0;0.0;"71699"
"1124";25;7;0;"BYBERG";130.2;0.0;33.0;72.0;0.0;58.2;"146666"
"4206";134;1;0;"HØILAND";10.6;176.0;80.0;10.6;0.0;0.0;"126485"
"5032";121;1;0;"KRAAKSTAD";157.6;1488.0;4387.7;152.4;0.0;5.2;"146752"
"5032";121;5;0;"KROKSTAD";64.8;732.0;3779.8;64.8;0.0;0.0;"51602"
"5032";15;1;0;"BELLET";155.3;610.0;184.0;152.7;0.0;2.6;"131552"
"4220";4;3;0;"HEGLAND ØVRE";42.1;551.2;3630.0;41.0;0.0;1.1;"27188"
"5032";18;1;0;"MEAN";78.7;286.0;95.0;54.5;0.0;24.2;"144481"
"4205";83;2;0;"SVINSTAD";31.9;662.7;72.9;12.0;0.0;19.9;"28066"
"3424";9;152;0;;0.0;22.0;199.0;0.0;0.0;0.0;"10716"
"5032";121;4;0;"KRÅKSTAD";86.3;1687.0;2350.9;86.3;0.0;0.0;"146486"
"1124";21;7;0;;101.8;9.4;14.2;34.8;0.0;67.0;"185718"
"4220";2;4;0;"LANGEID ØVRE";106.0;1088.4;5040.0;101.1;2.1;2.8;"27151"
"4220";4;1;0;"HEGLAND ØVRE";25.0;438.9;284.0;20.2;0.0;4.8;"27156"
"4220";4;2;0;"HEGLAND ØVRE";31.2;396.9;128.0;21.7;0.0;9.5;"150581"
"5032";17;1;0;"ENGAN";186.7;441.0;195.0;186.7;0.0;0.0;"50325"
"4221";68;18;0;"RYSSTAD";1.6;495.7;4695.0;1.6;0.0;0.0;"27575"
"5032";17;2;0;"ENGAN";201.4;583.0;195.0;189.2;3.0;9.2;"50326"
"5032";19;1;0;"BALSTAD";164.0;1129.0;1295.0;146.0;4.0;14.0;"51475"
"4220";6;9;0;"ARNEBERGSTUN";1.0;0.0;9.0;1.0;0.0;0.0;"243988"
"5032";139;1;0;"ØVRE AUNET";57.2;803.0;232.0;52.7;1.3;3.2;"91378"
"4220";6;8;0;"GAMLESTOG";1.0;0.0;13.0;1.0;0.0;0.0;"243989"
"5032";140;1;0;"AUNET NEDRE";47.1;495.0;269.0;46.6;0.0;0.5;"51632"
"5032";140;2;0;"AUNET NEDRE";66.6;625.0;138.0;66.6;0.0;0.0;"101253"
"3423";9;3;0;"RUSTEN";87.2;10.3;3.0;84.5;0.0;2.7;"96959"
"4222";10;2;0;"NESLAND";0.0;0.0;4633.0;0.0;0.0;0.0;"231386"
"4222";6;4;0;"VATNEDALEN M/LØYNING";71.6;306.1;0.0;64.5;7.1;0.0;"27467"
"4222";6;5;0;"ØRNEFJELLET";111.0;785.0;11807.0;106.0;0.0;5.0;"117833"
"4221";68;86;0;"TJØNNEHEI";0.0;0.0;3041.0;0.0;0.0;0.0;"88867"
"5032";48;5;0;"BROBAK";41.8;3.0;3.0;36.3;0.0;5.5;"140822"
"3424";10;6;0;"SKOG";0.0;510.0;362.5;0.0;0.0;0.0;"5333"
"4206";33;81;0;"FOLKEVOLD";0.0;0.0;2.0;0.0;0.0;0.0;"28279"
"4204";105;2;0;;0.0;3.0;10.0;0.0;0.0;0.0;"98220"
"4219";1;55;0;"BJØRNDALSSTYKKET";0.0;83.0;59.0;0.0;0.0;0.0;"26865"
"4204";79;7;0;"FRIGSTAD";15.5;182.3;12.0;15.5;0.0;0.0;"109103"
"3423";9;29;0;"STRANDLI";31.0;0.0;2.0;31.0;0.0;0.0;"96959"
"3423";9;35;0;"VÅGÅ";41.0;0.0;2.0;41.0;0.0;0.0;"96959"
"4204";79;1;0;"FRIGSTAD";16.8;217.0;12.0;16.7;0.0;0.1;"193830"
"4219";1;43;0;"FLATELAND";9.0;0.0;0.0;9.0;0.0;0.0;"26905"
"4204";79;13;0;"FRIGSTAD";0.0;91.2;1.0;0.0;0.0;0.0;"27691"
"4204";79;4;0;"FRIGSTAD";4.0;185.9;2.0;4.0;0.0;0.0;"193831"
"4206";139;2;0;"LOG";5.0;163.0;44.0;0.1;0.0;4.9;"142176"
"4221";21;1;0;"SYGARD";38.1;602.0;133.0;31.0;0.0;7.1;"27279"
"4206";136;6;0;"VOLLAN";12.5;122.0;82.0;9.0;0.0;3.5;"120142"
"4206";139;7;0;"LOG";10.4;11.0;3.0;4.8;0.0;5.6;"126488"
"4205";71;12;0;"HOGGANVIK";9.9;104.0;11.7;6.1;0.0;3.8;"28020"
"4206";146;1;0;"JERSDAL STORE";8.6;188.0;224.0;8.6;0.0;0.0;"137834"
"3435";4;5;0;"TJORSÆTER";11.0;0.0;1.0;11.0;0.0;0.0;"169722"
"3423";9;44;0;"AKRE";196.0;54.0;13.3;196.0;0.0;0.0;"96959"
"5054";290;2;0;"TØMMERDALSBRÆNDE";35.2;56.7;4.7;35.2;0.0;0.0;"52573"
"4205";404;16;0;"NYJORDET";5.5;2.0;1.9;4.0;0.0;1.5;"29878"
"1122";55;1;0;"FRAFJORD";16.1;7.0;26.0;0.1;16.0;0.0;"99398"
"4204";79;8;0;"FRIGSTAD";19.2;195.5;18.0;13.2;1.9;4.1;"27690"
"4206";139;1;0;"LOG";16.1;182.0;80.0;12.3;0.0;3.8;"75674"
"4206";139;3;0;"LOG";9.7;416.0;182.0;1.9;0.0;7.8;"126488"
"5054";288;1;0;"SKJÆRSET";93.5;1023.0;118.1;74.7;0.0;18.8;"195515"
"1122";55;3;0;"FRAFJORD";55.4;6.3;13.0;53.4;2.0;0.0;"153863"
"5032";143;6;0;"SLIND MELLOM";126.9;472.0;56.2;122.0;0.0;4.9;"138168"
"1122";55;2;0;"FRAFJORD";51.3;5.3;0.0;51.3;0.0;0.0;"99397"
"4225";279;1;0;"HOVDE";8.0;94.0;25.0;4.6;0.7;2.7;"30272"
"5032";51;9;0;"UGELLI";27.9;50.0;4.0;24.3;0.0;3.6;"51512"
"4225";276;1;0;"FIDJESTØL";32.0;0.0;0.0;6.0;0.0;26.0;"97678"
"4225";74;15;0;"HUSEFJELL I";0.0;0.0;0.0;0.0;0.0;0.0;"88187"
"4205";454;1;0;"PRÆSTHUS";13.0;61.2;107.0;13.0;0.0;0.0;"29935"
"4205";455;1;0;"GARE";14.4;9.0;14.0;5.5;0.0;8.9;"29941"
"5032";51;5;0;"UGLANSKOGEN";0.0;1400.0;44.0;0.0;0.0;0.0;"71253"
"5033";168;1;0;"TRØEN";88.0;2371.0;2854.0;82.7;0.0;5.3;"184996"
"5033";169;3;0;"AUNET ØSTRE";184.7;2822.0;2208.0;101.0;4.4;79.3;"185000"
