kommunenummer;gaardsnummer;bruksnummer;festenummer;bruksnavn;gjeldende_jordbruksareal;gjeldende_produktiv_skog;gjeldende_annet_areal;gjeldende_fulldyrket;gjeldende_overflatedyrket;gjeldende_innmarksbeite;lbe_id
4206;33;25;0;TJØRVE;112.1;0.0;17.0;68.1;0.0;44.0;141326
4225;210;1;0;RØDLAND;20.0;165.0;485.0;09.sep;0.0;10.jan;30231
3407;45;3;0;EIKSTAD ØSTRE;68.3;0.0;112.0;54.3;0.0;14.0;171022
4226;13;25;0;SLETTEMOEN;30.0;03.jan;1.0;30.0;0.0;0.0;193809
3407;46;21;0;ØVRE AANDALS ÅSLODD;0.0;41.0;0.0;0.0;0.0;0.0;170980
3436;210;1;0;HAGE;160.2;765.0;566.0;106.6;0.0;53.6;135637
4206;121;3;0;VESTRE SLETTSTRAND;0.6;38.0;21.0;0.6;0.0;0.0;28410
3407;45;6;0;SVENNERUD;08.jun;65.0;1.0;05.jul;0.0;02.sep;171025
3407;46;22;0;ØSTDALENS ÅSLODD;0.0;0.0;1.0;0.0;0.0;0.0;170980
4206;33;14;0;TJØRVE;77.5;0.0;14.0;69.0;0.0;08.mai;141326
4204;11;416;0;KLEVEN II;0.0;26.0;15.0;0.0;0.0;0.0;27634
3432;56;11;0;ESTINLØKKEN;0.0;0.0;0.0;0.0;0.0;0.0;197198
4206;126;6;0;FULLAND;14.mai;100.0;269.0;08.jun;0.9;5.0;72778
4206;126;1;0;FULLAND;22.mar;209.0;239.0;07.mar;0.0;15.0;72778
3407;45;5;0;EIKSTAD NEDRE;51.7;34.0;7.0;43.4;0.0;08.mar;171024
4227;212;9;0;AASEN;0.0;38.0;16.0;0.0;0.0;0.0;238766
4221;68;12;0;FAREMO;08.sep;19.mar;2676.0;08.sep;0.0;0.0;27573
4227;208;1;0;ÅSEN INDRE;44.0;429.0;1517.0;34.3;0.0;09.jul;82529
4227;210;1;0;VLADRIO;47.9;290.0;711.0;18.sep;0.0;29.0;30630
3432;56;9;0;BØTEIGEN V;0.0;19.0;11.0;0.0;0.0;0.0;170191
4226;15;2;0;HØILAND;35.0;139.0;89.0;19.0;5.0;11.0;193808
4226;15;3;0;HØILAND;213.0;594.0;448.0;27.0;27.0;159.0;206373
5032;110;4;0;UTHUSHAUGEN;09.jun;224.0;139.9;09.jun;0.0;0.0;222769
4226;16;2;0;URESTAD;31.aug;118.7;432.1;8.0;01.jun;22.feb;243582
4226;15;25;0;SKILJEBAKK;0.0;0.0;0.0;0.0;0.0;0.0;206373
4226;21;1;0;SKÅDHEIEN;17.sep;56.9;133.0;0.1;10.0;07.aug;193747
4225;249;8;0;GJEITLESTAD;9.0;261.0;43.0;0.0;0.0;9.0;88196
4226;63;1;0;BLÅKE YTRE;31.aug;553.0;144.8;17.aug;0.0;14.0;196383
5032;110;2;0;UTHUS VESTRE;87.9;1228.0;3508.2;79.2;0.0;08.jul;110539
5032;116;8;0;SANDMOEN;23.mai;0.9;3.0;23.mai;0.0;0.0;51596
5032;110;5;0;UTHUSPLASSEN;02.mai;244.0;75.6;02.mai;0.0;0.0;51581
5032;113;3;0;BJØRKEN VESTRE;110.2;277.0;362.4;110.2;0.0;0.0;185014
4204;92;8;0;;04.jun;174.0;4.0;03.feb;0.0;01.apr;78797
5032;119;1;0;STOKKAN MELLOM;101.7;1796.0;1897.8;100.3;0.0;01.apr;185017
4225;213;1;0;HOMMEN ØSTRE;10.0;400.0;1550.0;8.0;0.0;2.0;127123
4225;216;1;0;VIELAND;4.0;514.0;216.0;0.0;0.0;4.0;30233
4225;216;2;0;VIELAND;0.0;375.0;198.0;0.0;0.0;0.0;88281
4225;216;4;0;VIELAND;29.jul;232.0;72.4;09.mai;07.mai;12.jul;30233
4204;92;1;0;HOLTE;15.aug;424.0;32.0;15.feb;0.0;0.6;193835
4204;92;3;0;HOLTE;6.0;250.0;9.0;04.sep;0.0;01.jan;27700
3407;87;1;0;STOKKE ØVRE;91.0;324.0;12.jan;91.0;0.0;0.0;170944
4227;164;11;0;JERDAL;0.0;0.0;0.0;0.0;0.0;0.0;30597
4226;97;1;0;EIKÅSEN;87.7;298.6;0.0;23.0;06.mai;58.2;193592
4220;2;4;0;LANGEID ØVRE;106.0;1088.4;5040.0;101.1;02.jan;02.aug;27151
4220;2;34;0;;0.0;0.0;0.0;0.0;0.0;0.0;197436
4204;88;9;0;;05.feb;114.4;322.0;05.feb;0.0;0.0;71699
4227;164;21;0;TRYDENLUND;0.0;0.0;0.0;0.0;0.0;0.0;30597
3431;8;1;0;LYSHAUGEN;19.apr;141.4;52.9;15.0;0.0;04.apr;170434
3436;207;1;0;RISDAL NORDRE;132.1;1350.7;460.0;72.5;0.0;59.6;195728
3407;84;1;0;SLETTUM;81.6;470.0;13.0;81.6;0.0;0.0;207433
