ID,KOMNR,GARDSNR,BRUKSNR,FESTENR,BRUKSNAVN,JORDBRUKSAREAL,ANNETAREAL,SKOGAREAL,FULLDYRKET,OVERFLATEDYRKET,INNMARKSBEITE
"128653","5028",208,13,0,"LUNDEMO BRUK",0.0,2.0,5.8,0.0,0.0,0.0
"147051","5540",25,48,0,"ØVERGÅRD",21.7,220.2,50.9,12.5,5.1,4.1
"141326","4206",33,14,0,"TJØRVE",189.6,31.0,0.0,137.1,0.0,52.5
"28410","4206",121,3,0,"VESTRE SLETTSTRAND",0.6,21.0,38.0,0.6,0.0,0.0
"72778","4206",126,1,0,"FULLAND",36.8,508.0,309.0,15.9,0.9,20.0
"27573","4221",68,12,0,"FAREMO",8.9,2676.0,19.3,8.9,0.0,0.0
"51596","5032",116,8,0,"SANDMOEN",23.5,3.0,0.9,23.5,0.0,0.0
"71699","4204",88,9,0,,5.2,322.0,114.4,5.2,0.0,0.0
"193835","4204",92,1,0,"HOLTE",15.8,32.0,424.0,15.2,0.0,0.6
"27700","4204",92,3,0,"HOLTE",11.8,9.3,252.3,10.7,0.0,1.1
"78797","4204",92,8,0,,4.6,4.0,174.0,3.2,0.0,1.4
"185017","5032",119,1,0,"STOKKAN MELLOM",101.7,1897.8,1796.0,100.3,0.0,1.4
"126485","4206",134,1,0,"HØILAND",10.6,80.0,176.0,10.6,0.0,0.0
"27151","4220",2,4,0,"LANGEID ØVRE",106.0,5040.0,1088.4,101.1,2.1,2.8
"146752","5032",121,1,0,"KRAAKSTAD",157.6,4387.7,1488.0,152.4,0.0,5.2
"51602","5032",121,5,0,"KROKSTAD",64.8,3779.8,732.0,64.8,0.0,0.0
"27156","4220",4,1,0,"HEGLAND ØVRE",25.0,284.0,438.9,20.2,0.0,4.8
"150581","4220",4,2,0,"HEGLAND ØVRE",49.9,3375.8,863.6,28.0,0.0,21.9
"131552","5032",15,1,0,"BELLET",155.3,184.0,610.0,152.7,0.0,2.6
"50325","5032",17,1,0,"ENGAN",186.7,204.3,625.5,186.7,0.0,0.0
"50326","5032",17,2,0,"ENGAN",201.4,195.0,583.0,189.2,3.0,9.2
"144481","5032",18,1,0,"MEAN",85.9,107.3,363.2,58.6,0.0,27.3
"51475","5032",19,1,0,"BALSTAD",164.0,1295.9,1171.9,146.0,4.0,14.0
"28066","4205",83,2,0,"SVINSTAD",31.9,72.9,662.7,12.0,0.0,19.9
"243989","4220",6,8,0,"GAMLESTOG",1.0,13.0,0.0,1.0,0.0,0.0
"243988","4220",6,9,0,"ARNEBERGSTUN",1.0,9.0,0.0,1.0,0.0,0.0
"27575","4221",68,18,0,"RYSSTAD",4.3,4695.0,495.7,4.3,0.0,0.0
"91378","5032",139,1,0,"ØVRE AUNET",57.2,232.0,803.0,52.7,1.3,3.2
"51632","5032",140,1,0,"AUNET NEDRE",47.1,269.0,495.0,46.6,0.0,0.5
"101253","5032",140,2,0,"AUNET NEDRE",66.6,138.0,625.0,66.6,0.0,0.0
"27467","4222",6,4,0,"VATNEDALEN M/LØYNING",110.7,2648.9,1208.6,96.5,14.0,0.2
"117833","4222",6,5,0,"ØRNEFJELLET",111.0,11807.0,785.0,106.0,0.0,5.0
"231386","4222",10,2,0,"NESLAND",0.0,4633.0,0.0,0.0,0.0,0.0
"28279","4206",33,81,0,"FOLKEVOLD",0.0,2.0,0.0,0.0,0.0,0.0
"140822","5032",48,5,0,"BROBAK",58.8,65.0,268.6,41.3,12.0,5.5
"193830","4204",79,1,0,"FRIGSTAD",19.1,12.3,301.2,19.0,0.0,0.1
"193831","4204",79,4,0,"FRIGSTAD",4.0,2.0,209.6,4.0,0.0,0.0
"109103","4204",79,7,0,"FRIGSTAD",15.5,12.9,191.5,15.5,0.0,0.0
"27690","4204",79,8,0,"FRIGSTAD",19.2,18.0,195.5,13.2,1.9,4.1
"27691","4204",79,13,0,"FRIGSTAD",0.0,1.0,91.2,0.0,0.0,0.0
"110622","4204",80,3,0,"BRUNEVOLDEN",0.0,0.0,0.0,0.0,0.0,0.0
"27279","4221",21,1,0,"SYGARD",38.1,133.0,602.0,31.0,0.0,7.1
"197730","5032",50,2,0,"UGLSLETTEN",0.0,338.0,0.0,0.0,0.0,0.0
"120142","4206",136,6,0,"VOLLAN",12.5,82.0,122.0,9.0,0.0,3.5
"75674","4206",139,1,0,"LOG",16.1,80.0,182.0,12.3,0.0,3.8
"142176","4206",139,2,0,"LOG",5.0,44.0,163.0,0.1,0.0,4.9
"141317","4206",139,3,0,"LOG",9.7,182.0,416.0,1.9,0.0,7.8
"126488","4206",139,7,0,"LOG",10.4,3.0,11.0,4.8,0.0,5.6
"28020","4205",71,12,0,"HOGGANVIK",9.9,11.7,104.0,6.1,0.0,3.8
"137834","4206",146,1,0,"JERSDAL STORE",8.6,224.0,188.0,8.6,0.0,0.0
"195515","5054",288,1,0,"SKJÆRSET",93.5,118.1,1023.0,74.7,0.0,18.8
"138168","5032",143,6,0,"SLIND MELLOM",167.3,75.4,626.6,159.4,0.0,7.9
"130263","5032",143,7,0,"SLIND SØNDRE",97.9,50.1,537.3,92.4,0.0,5.5
"148902","4220",13,2,0,"AUSTAD NORDRE",63.6,1647.0,157.0,51.3,0.0,12.3
"30272","4225",279,1,0,"HOVDE",8.0,25.0,94.0,4.6,0.7,2.7
"29941","4205",455,1,0,"GARE",22.1,22.5,24.4,13.2,0.0,8.9
"51512","5032",51,9,0,"UGELLI",27.9,4.0,50.0,24.3,0.0,3.6
"184996","5033",168,1,0,"TRØEN",88.0,2854.0,2371.0,82.7,0.0,5.3
"86098","4205",398,8,0,"BUMYRA",0.0,15.0,56.0,0.0,0.0,0.0
"184999","5033",169,2,0,"AUNET ØSTRE",226.4,5103.5,3589.0,194.6,0.6,31.2
"185000","5033",169,3,0,"AUNET ØSTRE",190.6,2208.7,2822.0,106.9,4.4,79.3
"29875","4205",404,1,0,"STEINSLAND",45.6,31.0,272.1,15.6,0.0,30.0
"81726","4205",404,4,0,"STEINSLAND",29.4,173.6,331.3,17.0,0.0,12.4
"96408","4227",44,2,0,"STALLELAND",17.0,211.0,137.0,6.0,0.0,11.0
"30565","4227",155,2,0,"Nedre Omland",39.7,45.3,260.3,27.1,11.1,1.5
"206907","5033",171,1,0,"BERGET",78.2,4327.9,505.5,67.1,0.0,11.1
"51407","5031",8,6,0,"MALVIK VESTRE B",4.0,6.0,12.0,4.0,0.0,0.0
"138173","5032",68,1,0,"HOVE NORDRE",148.1,50.8,150.0,142.1,0.0,6.0
"51546","5032",69,1,0,"HOVE SØNDRE VESTRE",105.0,16.5,149.6,93.0,7.0,5.0
"185052","5032",69,2,0,"HOVE SØNDRE",164.5,71.2,285.0,147.5,0.0,17.0
"146494","5032",69,3,0,"HOVE SØNDRE ØSTRE",306.6,21.0,195.2,263.6,1.0,42.0
"144484","5032",72,1,0,"HOEM ØVRE",158.8,4728.0,262.0,90.3,7.5,61.0
"142036","4224",13,4,0,"AAKERNES",55.0,1991.2,1075.0,32.4,0.0,22.6
"29787","4205",346,1,0,"KVAAFJORD",2.9,52.7,0.0,0.0,0.0,2.9
"48518","5059",704,7,0,"SELVEN",141.6,1520.0,119.9,136.8,0.0,4.8
"153376","5032",77,1,0,"RØSSET NORDRE",275.1,3729.4,1379.8,255.9,9.0,10.2
"80032","5032",78,1,0,"RØSSET ØSTRE",140.0,6071.0,209.0,127.4,9.4,3.2
"30161","4225",141,6,0,"TJERSLAND",117.0,359.0,427.0,72.0,1.0,44.0
"157331","4224",1,3,0,"AASELAND",62.3,1340.0,368.0,58.9,0.0,3.4
"195449","4224",1,6,0,"AASLAND",55.6,2919.0,373.0,46.8,0.0,8.8
"206120","4224",1,26,0,"DERHEIME",86.8,3668.0,264.0,47.3,0.0,39.5
"95462","4225",86,2,0,"HINDERSLAND",28.4,43.0,432.0,23.3,0.0,5.1
"193859","4226",4,3,0,"FIDJAN",24.1,5.0,50.0,23.9,0.0,0.2
"193860","4226",4,4,0,"SNARTEMO NEDRE",72.6,542.7,272.4,30.1,0.0,42.5
"94245","4227",45,1,0,"LONDAL NEDRE",3.4,188.6,123.8,3.4,0.0,0.0
"240078","4225",7,1,0,"RÆVØ INDRE",42.0,240.0,13.0,4.0,2.0,36.0
"242178","4225",7,3,0,"BORGE",38.0,250.0,14.0,4.0,2.0,32.0
"113529","4224",2,18,0,"FORGAARD",56.0,6631.8,248.1,31.0,0.0,25.0
"133309","4224",15,1,0,"HAAVERSTØL",27.6,2.0,0.0,16.9,0.0,10.7
"157493","4227",57,1,0,"GAUKSDAL",29.0,880.0,152.0,13.0,5.0,11.0
"90639","4205",707,5,0,"DERNEE",116.7,519.4,1403.9,97.2,2.5,17.0
"235207","4205",437,3,0,"REME VESTRE",19.0,109.2,152.9,19.0,0.0,0.0
"29568","4224",25,1,0,"SMEDLAND",51.3,1604.4,737.9,42.6,0.0,8.7
"113531","4224",26,6,0,"TORSLAND",157.5,2690.7,1321.5,150.4,6.9,0.2
"116243","5006",56,1,0,"OPPEM",200.0,33.0,595.0,112.0,0.0,88.0
"29963","4205",462,7,0,"FJELDSKAAR INDRE",4.0,174.0,11.4,0.0,1.0,3.0
"30029","4205",515,1,0,"VIGMOSTAD PRESTEGÅRD",92.0,269.0,2870.0,92.0,0.0,0.0
"51480","5032",20,10,0,"SANDVIK NORDRE",36.2,549.0,156.0,33.9,0.0,2.3
"177586","5006",131,2,0,"FJESME",139.0,1444.0,1036.0,136.0,0.0,3.0
"177588","5006",131,6,0,"FREDLY",443.8,605.0,644.0,443.0,0.0,0.8
"127103","4225",24,1,0,"KÅVELAND",13.0,0.0,0.0,10.0,3.0,0.0
"29501","4205",720,4,0,"EIVENSTAD",0.0,341.0,135.0,0.0,0.0,0.0
"243879","4205",450,1,0,"VAALAND",0.0,48.0,238.0,0.0,0.0,0.0
"29925","4205",451,11,0,"NJERVE",4.5,179.4,63.9,4.5,0.0,0.0
"239355","4205",451,33,0,"FLATEN",5.1,21.0,6.3,5.1,0.0,0.0
"185088","5032",27,1,0,"MOEN",126.7,0.0,396.0,126.7,0.0,0.0
"235697","5032",27,2,0,"MOBAKKEN ØVRE",23.8,641.0,13.0,20.2,0.0,3.6
"71901","4205",526,1,0,"STØLE VESTRE",47.1,942.0,487.0,25.6,0.0,21.5
"29702","4225",470,3,0,"SVEINDAL VESTRE",27.3,48.1,566.0,11.7,4.5,11.1
"81328","4225",471,1,0,"SVEINDAL ØSTRE",36.8,138.7,560.0,14.9,0.0,21.9
"230423","4205",427,14,0,"LYSBERG",0.0,2.5,3.5,0.0,0.0,0.0
"84798","4227",18,1,0,"FOSSELAND",47.6,3.5,1.0,35.5,0.8,11.3
"243371","3234",99,109,0,,232.7,64.4,270.4,230.6,0.0,2.1
"29864","4205",388,1,0,"BJELLAND",44.8,2337.7,1041.0,22.2,0.0,22.6
"81159","4205",394,3,0,"STILAND",0.0,5.0,75.0,0.0,0.0,0.0
"30032","4205",517,1,0,"TRYLAND NEDRE",23.7,91.0,534.0,17.4,0.0,6.3
"30034","4205",517,4,0,"TRYLAND NEDRE",17.5,9.0,652.0,17.5,0.0,0.0
"29902","4205",431,7,0,"SYRDAL",28.9,135.0,80.0,19.4,0.0,9.5
"113765","4205",431,13,0,"SYRDAL",10.8,0.0,0.0,10.8,0.0,0.0
"227404","4224",6,10,0,"BREDLAND",90.4,2992.0,147.0,12.4,0.0,78.0
"29544","4224",7,3,0,"LJOSLAND",17.8,1581.0,0.1,13.8,0.1,3.9
"29548","4224",7,20,0,"NEDRE PERSTOVA",42.6,13658.8,293.8,33.4,7.8,1.4
"157868","5031",22,1,0,"Nordre Bjørnstad",297.7,37.9,949.9,254.6,0.0,43.1
"88897","4227",149,2,0,"TJØRHOM",123.7,155.4,213.3,123.7,0.0,0.0
"130841","4205",686,5,0,"FINSDAL",20.0,5.0,730.0,14.0,0.0,6.0
"207182","5032",149,1,0,"AFTRÆT SØNDRE",189.7,3065.2,3283.8,177.0,10.7,2.0
"207736","5032",149,3,0,"AFTRET SØNDRE",198.3,2228.0,1637.1,157.7,30.0,10.6
"86070","4205",332,1,0,"TORP",7.0,40.0,114.0,3.0,0.0,4.0
"51645","5032",150,1,0,"AFTRET NORDRE",44.6,715.0,649.0,27.6,7.3,9.7
"29772","4205",336,1,0,"FOSSELAND",2.2,57.1,329.3,2.1,0.0,0.1
"207737","5032",150,2,0,"AFTRET NORDRE / DALSGJERDET",13.7,976.0,325.0,13.1,0.0,0.6
