orgnr;komnr;hvete_mat;hvete_for;hvete_sakorn;rug_mat;rug_for;rug_sakorn;bygg;bygg_sakorn;havre;havre_sakorn;rughvete;rughvete_sakorn;erter;erter_sakorn;oljefro;oljefro_sakorn
811840122;3305;121282;104880;0;0;0;0;0;0;134218;0;0;0;0;0;0;0
811935662;3118;0;0;0;0;0;0;73321;0;82843;0;0;0;0;0;0;0
812992112;3020;0;0;126526;0;0;0;0;0;0;0;0;0;0;0;0;0
813394952;5006;0;47957;0;0;0;0;230473;0;91568;0;0;0;0;0;0;0
816966132;3236;0;0;0;0;0;0;13516;0;0;0;0;0;0;0;0;0
818637322;3420;0;52557;0;27092;145915;0;86429;0;0;0;0;0;0;0;0;0
820131592;3205;0;0;0;0;0;0;40594;0;0;0;0;0;0;0;0;0
820745442;3415;0;0;0;0;0;0;542709;0;28734;0;0;0;0;0;0;0
820802322;3105;0;0;0;0;0;0;96329;0;0;0;0;0;0;0;0;0
822304982;3446;0;0;0;0;0;0;10645;0;0;0;0;0;0;0;0;0
825007512;3412;0;0;0;0;0;0;9082;0;0;0;0;0;0;0;0;0
826113782;5006;0;0;0;0;0;0;212820;0;0;0;0;0;0;0;0;0
827530042;3228;0;0;0;0;0;0;226212;0;0;0;0;0;0;0;0;0
829220342;3203;0;0;0;0;0;0;0;0;68774;0;0;0;0;0;0;0
829571242;3442;0;0;0;0;0;0;29558;0;0;0;0;0;0;0;0;0
830157182;3120;0;0;0;0;0;0;60241;0;0;0;0;0;0;0;0;0
830620702;3442;0;0;0;0;0;0;94002;0;0;0;0;0;0;0;0;0
830661212;3320;13994;25798;0;0;0;0;0;0;0;0;0;0;0;0;0;0
833418742;5059;0;0;0;0;0;0;42850;0;0;0;0;0;0;0;0;0
834489252;3412;0;0;0;0;0;0;219655;0;0;0;0;0;0;0;0;0
869091022;3207;0;0;0;0;0;0;53105;0;0;0;0;0;0;0;0;0
869091162;3114;0;35766;0;0;0;0;0;0;19980;0;0;0;0;0;0;0
869099252;3205;50603;75055;0;0;0;0;81726;0;128394;0;0;0;0;0;0;0
869114502;3442;0;0;0;0;0;0;66958;0;0;0;0;0;0;0;0;0
869286222;3303;0;0;0;0;0;0;14784;0;0;0;0;0;0;0;0;0
869296112;3442;0;0;0;0;0;0;0;406936;0;0;0;0;0;37216;0;0
869349402;3203;0;0;0;0;0;0;0;0;9044;0;0;0;0;0;0;0
