ORGNR,NAVN,FRAKTTILSKUDD_EGG,FRAKTTILSKUDD_KORN,FRAKTTILSKUDD_SLAKT,MATKORNTILSKUDD,PRISNEDSKRIVING_KORN
811747912,FOLLEBU BRUK AS,,,,,1780522
833273612,64 GRADER NORD AS,,,,,260812
846170642,ØSTFOLDKORN SA,,,,,113576455
851970452,MYSEN KORNSILO OG MØLLE SA,,,,,40434640
910735802,Vestfoldmøllene As,,146643,83,,,59883168
910776703,BRASKEREIDFOSS KORNSILO SA,,,,,36642806
911608103,FELLESKJØPET AGRI SA,,84931898,1,,,903057712
913077903,HURUM MØLLE AS,,,,35165,3889361
913980484,OTTADALEN MØLLE SA,,,,163869,4231792
914532264,MALTERIET AS,,,,4392,107100
915442552,Felleskjøpet Rogaland Agder SA,,,,,17260865
915590314,GULLIMUNN AS,,,,9490,69223
915613713,AS Råde Mølle og Kornsilo,,,,,20757100
916329717,Strand Unikorn AS, Moelv,,12255804,9,,,159037528
916931182,JÆRMALT KLEPP,,10358,41,,91241,460819
918340998,GJULEM AGRO AS,,,,,3037732
918707867,BONSAK AS,,,,157884,179571
918962247,NORSK ØKORAPS AS,,,,,478580
921146620,TO GODE NABOER AS,,,,,90547
924350776,TVETER GÅRD FOREDLING AS,,113770,49,,281350,1375735
930385964,PÅ KORNET AS,,,,,1801941
935482291,HK AGRI AS,,,,,1674796
938639604,Løten Mølle AS,,,,,29367981
950121718,VESTBY MØLLE & KORNSILO SA,,,,,23232398
953852675,Orkla Kornsilo og Mølne SA,,,,,13360200
959079420,RINGERIKES KORNSILO SA,,,,,33351913
964878080,FISKÅ MØLLE SKJELFOSS AS,,,,,46041235
967060291,Hundseth Mølle AS,,,,,5889090
969184710,KOLSTAD HERBJØRN,,,,,252492
975856844,Fiskå Mølle AS,,16231780,85,,,111297916
977175062,MØRK ENGEBRETSEN INVEST AS,,,,,5587687
980663515,Vinstra Bruk AS,,,,,2192980
984109008,Fiskå Mølle Trøndelag AS, Rissa,,,,,4350839
984669127,FISKÅ MØLLE MOSS AS,,11570145,45,,,20956806
987098724,GJØLSTAD GÅRD AS,,,,,4003173
987634723,ØSTMØLLENE AS,,,,,50766386
989569767,DAG KYRRE LYGRE,,10676,1,,,84014
991500839,FISKÅ MØLLE FLISA AS,,,,,31856980
