soeknads_aar,statsforvalter,saksbehandlende_kommune,orgnr,komnr,gardsnr,bruksnr,festenr,miljoetema,tiltak,tiltaksklasse,sats,enhet,antall,beloep,aktivitetsomraade
2024,Østfold Buskerud Oslo og Akershus,3330,999668135,,,,,Kulturlandskap,Drift av beitelag,Småfe,25,ANTALL_DYR,1352,33800,Opprettholde kulturlandskapet
2024,Østfold Buskerud Oslo og Akershus,3205,999666248,3205,252,10,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 1, prioriterte områder,120,DEKAR,95,11400,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3205,999666248,3205,252,10,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, prioriterte områder,120,DEKAR,19,2280,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3205,999666248,3205,252,10,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 3, prioriterte områder,210,DEKAR,39,8190,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3205,999666248,3205,252,10,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, med dråg, prioriterte områder,210,DEKAR,3,630,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3220,999665462,3220,69,1,0,Kulturlandskap,Beiting av verdifulle jordbrukslandskap i innmark,Beiting av verdifulle jordbrukslandskap i innmark,200,DEKAR,4,800,Regionalt prioriterte kulturlandskap
2024,Østfold Buskerud Oslo og Akershus,3220,999665462,3220,69,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 1, prioriterte områder,120,DEKAR,23,2760,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3220,999665462,3220,69,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, prioriterte områder,120,DEKAR,55,6600,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3220,999665462,3220,69,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 3, prioriterte områder,210,DEKAR,42,8820,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3220,999665462,3220,69,1,0,Avrenning til vann,Gras på arealer utsatt for flom og erosjon,Prioriterte områder,240,DEKAR,50,12000,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3220,999665462,3220,69,1,0,Avrenning til vann,Ingen jordarbeiding på flomutsatte arealer,Prioriterte områder,120,DEKAR,12,1440,Avrenning
2024,Østfold Buskerud Oslo og Akershus,3220,999665462,3220,69,1,0,Avrenning til vann,Grasdekt kantsone i åker, korn m.m.,Prioriterte områder,21,METER,695,14595,Avrenning
2024,Vestfold og Telemark,3903,999662730,3903,247,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 3, prioriterte områder,220,DEKAR,19,4180,Avrenning
2024,Vestfold og Telemark,3903,999662730,3903,247,1,0,Avrenning til vann,Ingen jordarbeiding om høsten,Erosjonsklasse 2, med dråg, prioriterte områder,220,DEKAR,6,1320,Avrenning
